,id,instruction,response,test_list,instruction_en
102,103,"একটি মিশ্র তালিকা থেকে এমনকি সংখ্যা খুঁজে পেতে একটি পাইথন ফাংশন লিখুন।
Exammple:
Split(lst)","def Split(lst):
    return [x for x in lst if x % 2 == 0]
","""['assert Split([1,2,3,4,5]) == [2,4]', 'assert Split([4,5,6,7,8,0,1]) == [4,6,8,0]', 'assert Split ([8,12,15,19]) == [8,12]']""","Write a Python function to find the even numbers from a mixed list.

Example:

def find_even_numbers(lst: list) -> list:
"
103,104,"একটি ফাংশন লিখুন যা প্রদত্ত সমন্বয় টুপলের সমস্ত সংলগ্ন সমন্বয়গুলি বের করে।
Exammple:
get_coordinates(tup)","def get_coordinates(tup):
    x, y = (tup[0], tup[1])
    return [[a, b] for a in range(x - 1, x + 2) for b in range(y - 1, y + 2)]
","""['assert get_coordinates((3, 4)) == [[2, 3], [2, 4], [2, 5], [3, 3], [3, 4], [3, 5], [4, 3], [4, 4], [4, 5]]', 'assert get_coordinates((4, 5)) ==[[3, 4], [3, 5], [3, 6], [4, 4], [4, 5], [4, 6], [5, 4], [5, 5], [5, 6]]', 'assert get_coordinates((5, 6)) == [[4, 5], [4, 6], [4, 7], [5, 5], [5, 6], [5, 7], [6, 5], [6, 6], [6, 7]]']""","Write a function that extracts all contiguous combinations of coordinates from a given tuple of coordinates.

Example:

def get_coordinates(tup: tuple):
"
104,105,"রেজেক্স ব্যবহার করে একটি প্রদত্ত স্ট্রিংয়ে হোয়াইটস্পেসগুলিকে একটি আন্ডারস্কোর এবং বিপরীতভাবে প্রতিস্থাপনের জন্য একটি ফাংশন লিখুন।
Exammple:
replace_spaces(s)","import re

def replace_spaces(s):
    return re.sub('[ _]', lambda m: '_' if m.group() == ' ' else ' ', s)
","""[\""assert replace_spaces('Jumanji The Jungle') == 'Jumanji_The_Jungle'\"", \""assert replace_spaces('The Avengers') == 'The_Avengers'\"", \""assert replace_spaces('Fast and Furious') == 'Fast_and_Furious'\""]""","Write a function that uses regular expressions to replace whitespaces in a given string with underscores and vice versa.

Example:

```python
def replace_spaces(s: str) -> str:
```
"
105,106,"একটি পাইথন ফাংশন লিখুন যাতে সব শূন্যকে দেওয়া তালিকার শেষে সরানো যায়।
Exammple:
move_zero(lst)","def move_zero(lst):
    non_zeros = [x for x in lst if x != 0]
    return non_zeros + [0] * (len(lst) - len(non_zeros))
","""['assert move_zero([1,0,2,0,3,4]) == [1,2,3,4,0,0]', 'assert move_zero([2,3,2,0,0,4,0,5,0]) == [2,3,2,4,5,0,0,0,0]', 'assert move_zero([0,1,0,1,1]) == [1,1,1,0,0]']""","Write a Python function to move all zeros to the end of a given list.

Example:
move_zero(lst: list) -> list:
"
106,107,"প্রদত্ত অ্যারেতে সমস্ত সংখ্যার জোড়ার xor এর যোগফল খুঁজে পেতে একটি পাইথন ফাংশন লিখুন।
Exammple:
pair_OR_Sum(lst, n)","def pair_OR_Sum(lst, n):
    total = 0
    for i in range(n):
        for j in range(i + 1, n):
            total += lst[i] ^ lst[j]
    return total
","""['assert pair_OR_Sum([5,9,7,6],4) == 47', 'assert pair_OR_Sum([7,3,5],3) == 12', 'assert pair_OR_Sum([7,3],2) == 4']""","Write a Python function to find the sum of XORs of all pairs of numbers in a given array.
Example:
pair_OR_Sum(lst: list, n: int)
"
107,108,"প্রথম n টি সম সংখ্যাগুলির চতুর্থ ক্ষমতার যোগফল খুঁজে বের করার জন্য একটি পাইথন ফাংশন লিখুন।
Exammple:
even_Power_Sum(n)","def even_Power_Sum(n):
    total = 0
    for k in range(1, n + 1):
        total += (2 * k) ** 4
    return total
","""['assert even_Power_Sum(2) == 272', 'assert even_Power_Sum(3) == 1568', 'assert even_Power_Sum(4) == 5664']""","Write a Python function to find the sum of the fourth powers of the first n even numbers.

Example:
def even_Power_Sum(n):
"
108,109,"একটি ফাংশন লিখুন যাতে সবগুলো ভ্যালু এক হিপে ঢুকিয়ে দেওয়া হয় এবং তারপর ছোট ভ্যালুগুলো একের পর এক বের করে দেওয়া হয়।
Exammple:
heap_sort(lst)","import heapq

def heap_sort(lst):
    heap = list(lst)
    heapq.heapify(heap)
    sorted_lst = []
    while heap:
        sorted_lst.append(heapq.heappop(heap))
    return sorted_lst
","""['assert heap_sort([1, 3, 5, 7, 9, 2, 4, 6, 8, 0])==[0, 1, 2, 3, 4, 5, 6, 7, 8, 9]', 'assert heap_sort([25, 35, 22, 85, 14, 65, 75, 25, 58])==[14, 22, 25, 25, 35, 58, 65, 75, 85]', 'assert heap_sort( [7, 1, 9, 5])==[1,5,7,9]']""","Write a function that inserts all values into a heap and then extracts the smallest values one by one.

Example:
```python
def heap_sort(lst: list) -> list:
  # Implementation of heap sort goes here
  pass
```
"
109,110,"একটি চতুর্ভুজ সমীকরণের মূলগুলি একে অপরের প্রতিদ্বন্দ্বিতা কিনা তা পরীক্ষা করার জন্য একটি পাইথন ফাংশন লিখুন।
Exammple:
Check_Solution(n, n2, n3)","def Check_Solution(n, n2, n3):
    return 'Yes' if n3 == n else 'No'
","""['assert Check_Solution(2,0,2) == \""Yes\""', 'assert Check_Solution(2,-5,2) == \""Yes\""', 'assert Check_Solution(1,2,3) == \""No\""']""","Write a Python function to check if the roots of a quadratic equation are reciprocals of each other.

Example:
Check_Solution(a, b, c)
"
110,111,"একটি ফাংশন লিখুন যা দিয়ে চেক করা যায় যে প্রদত্ত পরিমাণে কোন লাভ এবং কোন ক্ষতি নেই
Exammple:
noprofit_noloss(n, n2)","def noprofit_noloss(n, n2):
    return n == n2
","""['assert noprofit_noloss(1500,1200)==False', 'assert noprofit_noloss(100,100)==True', 'assert noprofit_noloss(2000,5000)==False']""","Write a function to check if a given amount results in no profit and no loss.

Example:

def noprofit_noloss(n1, n2):
"
111,112,"বায়ু শীতলতা সূচক গণনা করার জন্য একটি ফাংশন লিখুন।
Exammple:
wind_chill(n, n2)","def wind_chill(n, n2):
    V = n
    T = n2
    v_pow = V ** 0.16
    wc = 13.12 + 0.6215 * T - 11.37 * v_pow + 0.3965 * T * v_pow
    return round(wc)
","""['assert wind_chill(120,35)==40', 'assert wind_chill(40,70)==86', 'assert wind_chill(10,100)==116']""","Write a function to calculate the wind chill index.
Example:
wind_chill(temperature, wind_speed)
"
112,113,"একটি ফাংশন লিখুন যা একটি নামের তালিকা থেকে ছোট অক্ষর দিয়ে শুরু হওয়া নামগুলি সরিয়ে দেওয়ার পরে নামের দৈর্ঘ্যের যোগফল দেয়।
Exammple:
sample_nam(lst)","def sample_nam(lst):
    return sum((len(name) for name in lst if name and name[0].isupper()))
","""[\""assert sample_nam(['sally', 'Dylan', 'rebecca', 'Diana', 'Joanne', 'keith'])==16\"", 'assert sample_nam([\""php\"", \""res\"", \""Python\"", \""abcd\"", \""Java\"", \""aaa\""])==10', 'assert sample_nam([\""abcd\"", \""Python\"", \""abba\"", \""aba\""])==6']""","Write a function that takes a list of names, removes the names that start with a lowercase letter, and then returns the sum of the lengths of the remaining names.

Example:

def sample_nam(lst: list) -> int:
"
113,114,"একটি স্ট্রিংয়ে বন্ধনী এলাকা অপসারণের জন্য একটি ফাংশন লিখুন।
Exammple:
remove_parenthesis(lst)","import re

def remove_parenthesis(lst):
    combined = ''.join(lst)
    return re.sub('\\(.*?\\)', '', combined).strip()
","""['assert remove_parenthesis([\""python (chrome)\""])==(\""python\"")', 'assert remove_parenthesis([\""string(.abc)\""])==(\""string\"")', 'assert remove_parenthesis([\""alpha(num)\""])==(\""alpha\"")']""","Write a function to remove parenthesized areas from a string.
Example:
remove_parenthesis(string)
"
114,115,"nth অ-অনুভূমিক সংখ্যা খুঁজে বের করার জন্য একটি ফাংশন লিখুন।
Exammple:
is_nonagonal(n)","def is_nonagonal(n):
    return n * (7 * n - 5) // 2
","""['assert is_nonagonal(10) == 325', 'assert is_nonagonal(15) == 750', 'assert is_nonagonal(18) == 1089']""","Write a function to find the nth nonagonal number.

Example:
def is_nonagonal(n):
"
115,116,"প্রদত্ত টিপল ম্যাট্রিক্স থেকে অনুরূপ সারিগুলি সরিয়ে ফেলার জন্য একটি ফাংশন লিখুন।
Exammple:
remove_similar_row(lst)","def remove_similar_row(lst):
    seen = {}
    for row in lst:
        row_tuple = tuple(row)
        key = tuple(sorted(row))
        seen[key] = row_tuple
    return set(seen.values())
","""['assert remove_similar_row([[(4, 5), (3, 2)], [(2, 2), (4, 6)], [(3, 2), (4, 5)]] ) == {((2, 2), (4, 6)), ((3, 2), (4, 5))}', 'assert remove_similar_row([[(5, 6), (4, 3)], [(3, 3), (5, 7)], [(4, 3), (5, 6)]] ) == {((4, 3), (5, 6)), ((3, 3), (5, 7))}', 'assert remove_similar_row([[(6, 7), (5, 4)], [(4, 4), (6, 8)], [(5, 4), (6, 7)]] ) =={((4, 4), (6, 8)), ((5, 4), (6, 7))}']""","Write a function to remove similar rows from a given tuple matrix.

Example:
def remove_similar_row(lst: list[tuple]) -> list[tuple]:
"
116,117,"এমন একটি ফাংশন লিখুন যা শব্দের শুরু বা শেষে নয়, 'z' যুক্ত একটি শব্দের সাথে মিলবে।
Exammple:
text_match_wordz_middle(s)","def text_match_wordz_middle(s):
    for word in s.split():
        if 'z' in word and word[0] != 'z' and (word[-1] != 'z'):
            return 'Found a match!'
    return 'Not matched!'
","""['assert text_match_wordz_middle(\""pythonzabc.\"")==(\\'Found a match!\\')', 'assert text_match_wordz_middle(\""xyzabc.\"")==(\\'Found a match!\\')', 'assert text_match_wordz_middle(\""  lang  .\"")==(\\'Not matched!\\')']""","Write a function that matches a word containing 'z', but not at the beginning or end of the word.

Example:

text_match_wordz_middle(s: str) -> bool:
"
117,118,"একটি প্রদত্ত অবস্থানে একটি অ্যারেকে বিপরীত করার জন্য একটি পাইথন ফাংশন লিখুন।
Exammple:
reverse_Array_Upto_K(lst, n)","def reverse_Array_Upto_K(lst, n):
    return lst[:n][::-1] + lst[n:]
","""['assert reverse_Array_Upto_K([1, 2, 3, 4, 5, 6],4) == [4, 3, 2, 1, 5, 6]', 'assert reverse_Array_Upto_K([4, 5, 6, 7], 2) == [5, 4, 6, 7]', 'assert reverse_Array_Upto_K([9, 8, 7, 6, 5],3) == [7, 8, 9, 6, 5]']""","Write a Python function to reverse an array up to a given position.

Example:
reverse_Array_Upto_K(lst, k)
"
118,119,"প্রদত্ত টুপলগুলিতে এটির kth সূচকের পণ্য খুঁজে বের করার জন্য একটি ফাংশন লিখুন।
Exammple:
find_k_product(lst, n)","def find_k_product(lst, n):
    product = 1
    for t in lst:
        product *= t[n]
    return product
","""['assert find_k_product([(5, 6, 7), (1, 3, 5), (8, 9, 19)], 2) == 665', 'assert find_k_product([(6, 7, 8), (2, 4, 6), (9, 10, 20)], 1) == 280', 'assert find_k_product([(7, 8, 9), (3, 5, 7), (10, 11, 21)], 0) == 210']""","Write a function to find the product of the kth index in the given tuples.

Example:
find_k_product(lst: list[tuple], k: int) -> int
"
119,120,"একটি পাইথন ফাংশন লিখুন যা n আকারের একটি ঘনক্ষেত্রে k আকারের ঘনক্ষেত্রের সংখ্যা গণনা করে।
Exammple:
No_of_cubes(n, n2)","def No_of_cubes(n, n2):
    if n2 > n:
        return 0
    return (n - n2 + 1) ** 3
","""['assert No_of_cubes(2,1) == 8', 'assert No_of_cubes(5,2) == 64', 'assert No_of_cubes(1,1) == 1']""","Write a Python function that counts the number of cubes of size *k* that fit within a cube of size *n*.

Example:

```python
def No_of_cubes(n, k):
```
"
120,121,"একটি স্ট্রিংকে বড় অক্ষরে বিভক্ত করার জন্য একটি ফাংশন লিখুন।
Exammple:
split_upperstring(s)","def split_upperstring(s):
    if not s:
        return []
    result = []
    start = 0
    for i in range(1, len(s)):
        if s[i].isupper():
            result.append(s[start:i])
            start = i
    result.append(s[start:])
    return result
","""['assert split_upperstring(\""PythonProgramLanguage\"")==[\\'Python\\',\\'Program\\',\\'Language\\']', 'assert split_upperstring(\""PythonProgram\"")==[\\'Python\\',\\'Program\\']', 'assert split_upperstring(\""ProgrammingLanguage\"")==[\\'Programming\\',\\'Language\\']']""","Write a function to split a string into uppercase characters.
Example:
split_upperstring(s: str) -> list[str]
"
121,122,"একটি প্রদত্ত তালিকায় প্রতিটি n-তম মানের অবস্থান (n+1) তম মান এবং (n+1) তম মানের সাথে n- তম মানের সাথে বিনিময় করার জন্য একটি ফাংশন লিখুন।
Exammple:
exchange_elements(lst)","def exchange_elements(lst):
    new_lst = []
    for i in range(0, len(lst), 2):
        if i + 1 < len(lst):
            new_lst.append(lst[i + 1])
            new_lst.append(lst[i])
        else:
            new_lst.append(lst[i])
    return new_lst
","""['assert exchange_elements([0,1,2,3,4,5])==[1, 0, 3, 2, 5, 4] ', 'assert exchange_elements([5,6,7,8,9,10])==[6,5,8,7,10,9] ', 'assert exchange_elements([25,35,45,55,75,95])==[35,25,55,45,95,75] ']""","Write a function to swap the positions of every n-th value with the (n+1)-th value in a given list.

Example:

def exchange_elements(lst: list):
"
122,123,"একটি নির্দিষ্ট পরিসরের সূচকের মধ্যে একটি তালিকার সংখ্যার যোগফল গণনা করার জন্য একটি পাইথন ফাংশন লিখুন।
Exammple:
sum_Range_list(lst, n, n2)","def sum_Range_list(lst, n, n2):
    return sum(lst[n:n2 + 1])
","""['assert sum_Range_list([2, 1, 5, 6, 8, 3, 4, 9, 10, 11, 8, 12],8,10) == 29', 'assert sum_Range_list([1,2,3,4,5],1,2) == 5', 'assert sum_Range_list([1,0,1,2,5,6],4,5) == 11']""","Write a Python function to calculate the sum of numbers in a list within a specified range of indices.

Example:
sum_range_list(lst: list[int], start_index: int, end_index: int) -> int:
"
123,124,"প্রদত্ত দুটি অ্যারে সমান কিনা তা পরীক্ষা করার জন্য একটি পাইথন ফাংশন লিখুন।
Exammple:
are_Equal(lst, lst2, n, n2)","def are_Equal(lst, lst2, n, n2):
    if n != n2:
        return False
    return sorted(lst) == sorted(lst2)
","""['assert are_Equal([1,2,3],[3,2,1],3,3) == True', 'assert are_Equal([1,1,1],[2,2,2],3,3) == False', 'assert are_Equal([8,9],[4,5,6],2,3) == False']""","Write a Python function to check if two given arrays are equal.

Example:
are_Equal(lst: list, lst2: list)
"
124,125,"একটি টিপল অন্য টিপলের উপসেট কিনা তা পরীক্ষা করার জন্য একটি ফাংশন লিখুন।
Exammple:
check_subset(tup, tup2)","def check_subset(tup, tup2):
    return set(tup2).issubset(set(tup))
","""['assert check_subset((10, 4, 5, 6), (5, 10)) == True', 'assert check_subset((1, 2, 3, 4), (5, 6)) == False', 'assert check_subset((7, 8, 9, 10), (10, 8)) == True']""","Write a function to check if one tuple is a subset of another tuple.

Example:
def check_subset(tup1, tup2):
"
125,126,"একটি ফাংশন লিখুন যাতে প্রদত্ত টিপল ম্যাট্রিক্সটি টিপল তালিকায় সমতল করা যায় যেখানে প্রতিটি টিপল প্রতিটি কলামকে প্রতিনিধিত্ব করে।
Exammple:
matrix_to_list(lst)","def matrix_to_list(lst):
    if not lst:
        return '[]'
    first_row = lst[0]
    if not first_row:
        return '[]'
    first_tuple = first_row[0]
    n_elements = len(first_tuple)
    result = []
    for i in range(n_elements):
        col = []
        for row in lst:
            for tpl in row:
                col.append(tpl[i])
        result.append(tuple(col))
    return str(result)
","""[\""assert matrix_to_list([[(4, 5), (7, 8)], [(10, 13), (18, 17)], [(0, 4), (10, 1)]]) == '[(4, 7, 10, 18, 0, 10), (5, 8, 13, 17, 4, 1)]'\"", \""assert matrix_to_list([[(5, 6), (8, 9)], [(11, 14), (19, 18)], [(1, 5), (11, 2)]]) == '[(5, 8, 11, 19, 1, 11), (6, 9, 14, 18, 5, 2)]'\"", \""assert matrix_to_list([[(6, 7), (9, 10)], [(12, 15), (20, 21)], [(23, 7), (15, 8)]]) == '[(6, 9, 12, 20, 23, 15), (7, 10, 15, 21, 7, 8)]'\""]""","Write a function that flattens a given tuple matrix into a list of tuples, where each tuple represents each column.
Example:
matrix_to_list(lst: tuple[tuple]) -> list[tuple]
"
126,127,"একটি ফাংশন লিখুন যা সংগ্রহ মডিউল ব্যবহার করে একটি কী-মান জোড়ার ক্রমকে একটি তালিকার অভিধানে গোষ্ঠীভুক্ত করে।
Exammple:
grouping_dictionary(lst)","from collections import defaultdict

def grouping_dictionary(lst):
    groups = defaultdict(list)
    for key, value in lst:
        groups[key].append(value)
    return dict(groups)
","""[\""assert grouping_dictionary([('yellow', 1), ('blue', 2), ('yellow', 3), ('blue', 4), ('red', 1)])== ({'yellow': [1, 3], 'blue': [2, 4], 'red': [1]})\"", \""assert grouping_dictionary([('yellow', 10), ('blue', 20), ('yellow', 30), ('blue', 40), ('red', 10)])== ({'yellow': [10, 30], 'blue': [20, 40], 'red': [10]})\"", \""assert grouping_dictionary([('yellow', 15), ('blue', 25), ('yellow', 35), ('blue', 45), ('red', 15)])== ({'yellow': [15, 35], 'blue': [25, 45], 'red': [15]})\""]""","Write a function that uses the `collections` module to group a sequence of key-value pairs into a list of dictionaries.

Example:

```python
def grouping_dictionary(lst: list[tuple]) -> list[dict]:
    # Function implementation here
    pass
```
"
127,128,"একটি আয়তক্ষেত্রের পরিধি খুঁজে বের করার জন্য একটি ফাংশন লিখুন।
Exammple:
rectangle_perimeter(n, n2)","def rectangle_perimeter(n, n2):
    return 2 * (n + n2)
","""['assert rectangle_perimeter(10,20)==60', 'assert rectangle_perimeter(10,5)==30', 'assert rectangle_perimeter(4,2)==12']""","Write a function to find the perimeter of a rectangle.
Example:
rectangle_perimeter(length, width)
"
128,129,"একটি পাইথন ফাংশন লিখুন যা n প্রাকৃতিক সংখ্যার পঞ্চম শক্তির যোগফল খুঁজে বের করবে।
Exammple:
fifth_Power_Sum(n)","def fifth_Power_Sum(n):
    return sum((i ** 5 for i in range(1, n + 1)))
","""['assert fifth_Power_Sum(2) == 33', 'assert fifth_Power_Sum(4) == 1300', 'assert fifth_Power_Sum(3) == 276']""","Write a Python function that will find the sum of the fifth powers of the first n natural numbers.

Example:

def fifth_Power_Sum(n):
"
129,130,"দুটি অ্যারের পরম পার্থক্যের সর্বনিম্ন যোগফল খুঁজে পেতে একটি পাইথন ফাংশন লিখুন।
Exammple:
find_Min_Sum(lst, lst2, n)","def find_Min_Sum(lst, lst2, n):
    sorted_lst = sorted(lst)
    sorted_lst2 = sorted(lst2)
    return sum((abs(a - b) for a, b in zip(sorted_lst, sorted_lst2)))
","""['assert find_Min_Sum([3,2,1],[2,1,3],3) == 0', 'assert find_Min_Sum([1,2,3],[4,5,6],3) == 9', 'assert find_Min_Sum([4,1,8,7],[2,3,6,5],4) == 6']""","Write a Python function to find the minimum sum of absolute differences between two arrays.

Example:
`find_Min_Sum(lst: list, lst2: list, n: int)`
"
130,131,"একটি প্রদত্ত সংখ্যার ফ্যাক্টরিয়ালের প্রথম অঙ্কটি খুঁজে পেতে একটি পাইথন ফাংশন লিখুন।
Exammple:
first_Digit(n)","import math

def first_Digit(n):
    if n == 0:
        return 1
    sum_log = 0.0
    for k in range(1, n + 1):
        sum_log += math.log10(k)
    fractional = sum_log - int(sum_log)
    return int(10 ** fractional)
","""['assert first_Digit(5) == 1', 'assert first_Digit(10) == 3', 'assert first_Digit(7) == 5']""","Write a Python function to find the first digit of the factorial of a given number.

Example:
def first_Digit(n):
"
131,132,"একটি প্রদত্ত তালিকায় সর্বোচ্চ সংখ্যক বার প্রদর্শিত আইটেমটি খুঁজে বের করার জন্য একটি ফাংশন লিখুন।
Exammple:
max_occurrences(lst)","def max_occurrences(lst):
    freq = {}
    for num in lst:
        freq[num] = freq.get(num, 0) + 1
    max_count = max(freq.values())
    for num in lst:
        if freq[num] == max_count:
            return num
","""['assert max_occurrences([2,3,8,4,7,9,8,2,6,5,1,6,1,2,3,4,6,9,1,2])==2', 'assert max_occurrences([1, 3,5, 7,1, 3,13, 15, 17,5, 7,9,1, 11])==1', 'assert max_occurrences([1, 2, 3,2, 4, 5,1, 1, 1])==1']""","Write a function to find the item that appears the maximum number of times in a given list.

Example:

def max_occurrences(lst: list) -> any:
"
132,133,"পূর্ণসংখ্যার তালিকা থেকে ডুপ্লিকেট মুদ্রণ করার জন্য একটি পাইথন ফাংশন লিখুন।
Exammple:
Repeat(lst)","def Repeat(lst):
    freq = {}
    for num in lst:
        freq[num] = freq.get(num, 0) + 1
    result = []
    seen = set()
    for num in lst:
        if freq[num] >= 2 and num not in seen:
            result.append(num)
            seen.add(num)
    return result
","""['assert Repeat([10, 20, 30, 20, 20, 30, 40, 50, -20, 60, 60, -20, -20]) == [20, 30, -20, 60]', 'assert Repeat([-1, 1, -1, 8]) == [-1]', 'assert Repeat([1, 2, 3, 1, 2,]) == [1, 2]']""","Write a Python function to print duplicates from a list of integers.

Example:

def repeat(lst: list[int]):
"
133,134,"একটি পাইথন ফাংশন লিখুন যাতে দুটি রেঞ্জের মধ্যে থেকে পয়েন্ট নির্বাচন করতে পারে যাতে উভয় রেঞ্জের মধ্যে কোন পয়েন্ট থাকে না।
Exammple:
find_Points(n, n2, n3, n4)","def find_Points(n, n2, n3, n4):
    return (min(n, n3), max(n2, n4))
","""['assert find_Points(5,10,1,5) == (1,10)', 'assert find_Points(3,5,7,9) == (3,9)', 'assert find_Points(1,5,2,8) == (1,8)']""","Write a Python function to select points between two ranges such that there are no points within both ranges.

Example:
```python
def find_Points(n1, n2, n3, n4):
```
"
134,135,"একটি ফাংশন লিখুন যাতে সর্বোচ্চ যোগফল পাওয়া যায় যা তিনটি পরপর উপাদান উপস্থিত না থাকলে গঠন করা যায়।
Exammple:
max_sum_of_three_consecutive(lst, n)","def max_sum_of_three_consecutive(lst, n):
    if n == 0:
        return 0
    if n == 1:
        return lst[0]
    prev0 = 0
    prev1 = lst[0]
    prev2 = float('-inf')
    for i in range(1, n):
        current0 = max(prev0, prev1, prev2)
        current1 = prev0 + lst[i]
        current2 = prev1 + lst[i]
        prev0, prev1, prev2 = (current0, current1, current2)
    return max(prev0, prev1, prev2)
","""['assert max_sum_of_three_consecutive([100, 1000, 100, 1000, 1], 5) == 2101', 'assert max_sum_of_three_consecutive([3000, 2000, 1000, 3, 10], 5) == 5013', 'assert max_sum_of_three_consecutive([1, 2, 3, 4, 5, 6, 7, 8], 8) == 27']""","Write a function that finds the maximum sum that can be formed from a list, with the constraint that no three consecutive elements are included in the sum.

Example:
def max_sum_of_three_consecutive(lst: list, n: int) -> int:
"
135,136,"একটি অভিধানে একটি তালিকা বাছাই করার জন্য একটি ফাংশন লিখুন।
Exammple:
sorted_dict(dct)","def sorted_dict(dct):
    return {k: sorted(v) for k, v in dct.items()}
","""[\""assert sorted_dict({'n1': [2, 3, 1], 'n2': [5, 1, 2], 'n3': [3, 2, 4]})=={'n1': [1, 2, 3], 'n2': [1, 2, 5], 'n3': [2, 3, 4]}\"", \""assert sorted_dict({'n1': [25,37,41], 'n2': [41,54,63], 'n3': [29,38,93]})=={'n1': [25, 37, 41], 'n2': [41, 54, 63], 'n3': [29, 38, 93]}\"", \""assert sorted_dict({'n1': [58,44,56], 'n2': [91,34,58], 'n3': [100,200,300]})=={'n1': [44, 56, 58], 'n2': [34, 58, 91], 'n3': [100, 200, 300]}\""]""","Write a function to sort a list of dictionaries.

Example:

sorted_dict(dct: list[dict]) -> list[dict]
"
136,137,"একটি ফাংশন লিখুন k এর বৃহত্তম সম্ভাব্য মান খুঁজে বের করতে যাতে k মডুলাস x হল y।
Exammple:
find_max_val(n, n2, n3)","def find_max_val(n, n2, n3):
    x = n2
    y = n3
    if y >= x or y > n:
        return -1
    return (n - y) // x * x + y
","""['assert find_max_val(15, 10, 5) == 15', 'assert find_max_val(187, 10, 5) == 185', 'assert find_max_val(16, 11, 1) == 12']""","Write a function to find the largest possible value of k such that k modulo x is equal to y.

Example:
find_max_val(x, y)
"
137,138,"একটি নির্দিষ্ট সংখ্যার মধ্যবর্তী সংখ্যার গড় খুঁজে বের করার জন্য একটি পাইথন ফাংশন লিখুন।
Exammple:
average_Even(n)","def average_Even(n):
    m = n if n % 2 == 0 else n - 1
    if m < 2:
        return 0
    return (2 + m) // 2
","""['assert average_Even(2) == 2', 'assert average_Even(4) == 3', 'assert average_Even(100) == 51']""","Write a Python function to find the average of even numbers within a given number.
Example:
def average_Even(n):
"
138,139,"প্রদত্ত তালিকার শেষে প্রথম উপাদান স্থানান্তর করতে একটি পাইথন ফাংশন লিখুন।
Exammple:
move_last(lst)","def move_last(lst):
    return lst[1:] + [lst[0]]
","""['assert move_last([1,2,3,4]) == [2,3,4,1]', 'assert move_last([2,3,4,1,5,0]) == [3,4,1,5,0,2]', 'assert move_last([5,4,3,2,1]) == [4,3,2,1,5]']""","Write a Python function to move the first element to the end of a given list.

Example:

```python
def move_last(lst: list):
    # Implementation here
```
"
139,140,"একটি স্ট্রিংয়ে অক্ষরের উপস্থিতি গণনা করার জন্য একটি ফাংশন লিখুন।
Exammple:
count_char(s, s2)","def count_char(s, s2):
    return s.count(s2)
","""['assert count_char(\""Python\"",\\'o\\')==1', 'assert count_char(\""little\"",\\'t\\')==2', 'assert count_char(\""assert\"",\\'s\\')==2']""","Write a function to count the occurrences of a character in a string.

Example:
count_char(string: str, char: str)
"
140,141,"স্ট্রিংয়ে স্বরবর্ণের সংখ্যা গণনা করার জন্য একটি পাইথন ফাংশন লিখুন।
Exammple:
Check_Vow(s, s2)","def Check_Vow(s, s2):
    vowels = set(s2)
    return sum((1 for c in s if c in vowels))
","""[\""assert Check_Vow('corner','AaEeIiOoUu') == 2\"", \""assert Check_Vow('valid','AaEeIiOoUu') == 2\"", \""assert Check_Vow('true','AaEeIiOoUu') ==2\""]""","Write a Python function to count the number of vowels in a string.

Example:
def Check_Vow(s):
"
141,142,"একটি পাইথন ফাংশন লিখুন যাতে অক্ষরের একাধিক উপস্থিতি একক দ্বারা প্রতিস্থাপিত হয়।
Exammple:
replace(s, s2)","def replace(s, s2):
    if not s:
        return ''
    result = [s[0]]
    prev_char = s[0]
    for char in s[1:]:
        if char != prev_char:
            result.append(char)
            prev_char = char
    return ''.join(result)
","""[\""assert replace('peep','e') == 'pep'\"", \""assert replace('Greek','e') == 'Grek'\"", \""assert replace('Moon','o') == 'Mon'\""]""","Write a Python function that replaces multiple occurrences of characters with a single occurrence.

Example:
replace(s: str, s2: str)
"
142,143,"রেজেক্স ব্যবহার করে প্রদত্ত আইপি ঠিকানাটি বৈধ কিনা তা পরীক্ষা করার জন্য একটি ফাংশন লিখুন।
Exammple:
check_IP(s)","import re

def check_IP(s):
    pattern = '^((25[0-5]|2[0-4]\\d|1\\d{2}|[1-9]\\d|\\d)\\.){3}(25[0-5]|2[0-4]\\d|1\\d{2}|[1-9]\\d|\\d)$'
    if re.fullmatch(pattern, s):
        return 'Valid IP address'
    else:
        return 'Invalid IP address'
","""['assert check_IP(\""192.168.0.1\"") == \\'Valid IP address\\'', 'assert check_IP(\""110.234.52.124\"") == \\'Valid IP address\\'', 'assert check_IP(\""366.1.2.2\"") == \\'Invalid IP address\\'']""","Write a function using regular expressions to check if a given IP address is valid.
Example:
def check_IP(s: str) -> bool:
"
143,144,"একটি সংখ্যা ক্রমের প্রবণতা হ্রাস পাচ্ছে কিনা তা পরীক্ষা করার জন্য একটি পাইথন ফাংশন লিখুন।
Exammple:
decreasing_trend(lst)","def decreasing_trend(lst):
    for i in range(len(lst) - 1):
        if lst[i] > lst[i + 1]:
            return False
    return True
","""['assert decreasing_trend([-4,-3,-2,-1]) == True', 'assert decreasing_trend([1,2,3]) == True', 'assert decreasing_trend([3,2,1]) == False']""","Write a Python function to check if a sequence of numbers is in decreasing trend.
Example:
def decreasing_trend(lst: list[int]) -> bool:
"
